"Question","SQL"
"How many entries of records are present?","SELECT COUNT(*) FROM ProductSales;"
"Give me the category and total sales corresponding to order id ORD0014?","SELECT Category, TotalSales FROM ProductSales WHERE OrderID = 'ORD0014';"
"Display all the rows which contain total sales between 100 and 1000 within the first 15 rows.","SELECT * FROM ProductSales WHERE TotalSales BETWEEN 100 AND 1000 LIMIT 15;"
"What are the total sales for each category, and display them in descending order of total sales?","SELECT Category, SUM(TotalSales) AS TotalCategorySales FROM ProductSales GROUP BY Category ORDER BY TotalCategorySales DESC;"
"List all unique products that have ""Smart"" in their name.","SELECT DISTINCT Product FROM ProductSales WHERE LOWER(Product) LIKE LOWER('%smart%');"
"On which date was a ""Smartphone"" sold for 700?","SELECT Date FROM ProductSales WHERE Product = 'Smartphone' AND SellingPrice = 700;"
"What is the total sales amount for ""Electronics""?","SELECT SUM(TotalSales) AS TotalElectronicsSales FROM ProductSales WHERE Category = 'Electronics';"
"How much sales were made last month?","SELECT SUM(TotalSales) FROM ProductSales WHERE Date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH) AND Date < CURRENT_DATE();"
"Show me all sales for ""Running Shoes"".","SELECT * FROM ProductSales WHERE Product = 'Running Shoes';"
"When was the last time ""John Doe"" made a purchase?","SELECT MAX(Date) AS LastPurchaseDate FROM ProductSales WHERE CustomerName = 'John Doe';"
"List all completed transactions for customers in ""New York"".","SELECT * FROM ProductSales WHERE Status = 'Completed' AND CustomerLocation = 'New York';"
"Show me all sales transactions that are still pending.","SELECT * FROM ProductSales WHERE Status = 'Pending';"
"What is the total quantity of ""Headphones"" sold?","SELECT SUM(Quantity) AS TotalHeadphonesSold FROM ProductSales WHERE Product = 'Headphones';"
"How many sales were made by ""Jane Smith"" last year?","SELECT COUNT(OrderID) AS SalesByJaneSmithLastYear FROM ProductSales WHERE CustomerName = 'Jane Smith' AND YEAR(Date) = YEAR(CURRENT_DATE()) - 1;"
"Which payment method was used most frequently?","SELECT PaymentMethod, COUNT(*) AS TransactionCount FROM ProductSales GROUP BY PaymentMethod ORDER BY TransactionCount DESC LIMIT 1;"
"What is the average selling price of products in the ""Clothing"" category?","SELECT AVG(SellingPrice) AS AverageClothingPrice FROM ProductSales WHERE Category = 'Clothing';"
"List all orders placed in June 2025.","SELECT * FROM ProductSales WHERE YEAR(Date) = 2025 AND MONTH(Date) = 6;"
"Which customer made the highest total purchase?","SELECT CustomerName, SUM(TotalSales) AS TotalPurchaseAmount FROM ProductSales GROUP BY CustomerName ORDER BY TotalPurchaseAmount DESC LIMIT 1;"
"Show me the total sales made in the last quarter.","SELECT SUM(TotalSales) FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 3 MONTH);"
"Show me sales made in the last three quarters.","SELECT SUM(TotalSales) FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 9 MONTH);"
"Show me which customer made the most sales in the last quarter.","SELECT CustomerName, SUM(TotalSales) AS TotalCustomerSales FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 3 MONTH) GROUP BY CustomerName ORDER BY TotalCustomerSales DESC LIMIT 1;"
"Show me all the customer sales data from the last quarter.","SELECT CustomerName, Product, TotalSales, Date FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 3 MONTH) ORDER BY Date DESC;"
"Show me which three products were the best selling last month.","SELECT Product, SUM(Quantity) AS TotalQuantitySold FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 1 MONTH) AND Date < '2025-06-27' GROUP BY Product ORDER BY TotalQuantitySold DESC LIMIT 3;"
"What was the total sales amount in the first quarter of 2025?","SELECT SUM(TotalSales) FROM ProductSales WHERE Date BETWEEN '2025-01-01' AND '2025-03-31';"
"List all products sold in May 2025.","SELECT DISTINCT Product FROM ProductSales WHERE YEAR(Date) = 2025 AND MONTH(Date) = 5;"
"Which payment method was least used in the current quarter?","SELECT PaymentMethod, COUNT(*) AS TransactionCount FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 3 MONTH) GROUP BY PaymentMethod ORDER BY TransactionCount ASC LIMIT 1;"
"Compare total sales of ""Electronics"" between last month and the month before last.","SELECT 'Last Month' AS Period, SUM(TotalSales) AS Sales FROM ProductSales WHERE Category = 'Electronics' AND Date >= DATE_SUB('2025-06-27', INTERVAL 1 MONTH) AND Date < '2025-06-27' UNION ALL SELECT 'Month Before Last' AS Period, SUM(TotalSales) AS Sales FROM ProductSales WHERE Category = 'Electronics' AND Date >= DATE_SUB('2025-06-27', INTERVAL 2 MONTH) AND Date < DATE_SUB('2025-06-27', INTERVAL 1 MONTH);"
"Show the average total sales per transaction for each customer location in the year 2024.","SELECT CustomerLocation, AVG(TotalSales) AS AverageSalesPerTransaction FROM ProductSales WHERE YEAR(Date) = 2024 GROUP BY CustomerLocation ORDER BY AverageSalesPerTransaction DESC;"
"How many orders were placed by customers named 'Maria' in 2023?","SELECT COUNT(OrderID) FROM ProductSales WHERE CustomerName = 'Maria' AND YEAR(Date) = 2023;"
"Get the total quantity of products sold for each category in the current year.","SELECT Category, SUM(Quantity) AS TotalQuantity FROM ProductSales WHERE YEAR(Date) = YEAR('2025-06-27') GROUP BY Category ORDER BY TotalQuantity DESC;"
"List all products that have never been sold.","SELECT DISTINCT P.Product FROM (SELECT DISTINCT Product FROM ProductSales) AS P LEFT JOIN ProductSales AS PS ON P.Product = PS.Product WHERE PS.OrderID IS NULL;"
"Find the average selling price of products for each category, but only for products with a 'Completed' status.","SELECT Category, AVG(SellingPrice) AS AverageCompletedPrice FROM ProductSales WHERE Status = 'Completed' GROUP BY Category ORDER BY AverageCompletedPrice DESC;"
"Which customer location generated the highest total sales in April 2025?","SELECT CustomerLocation, SUM(TotalSales) AS TotalLocationSales FROM ProductSales WHERE YEAR(Date) = 2025 AND MONTH(Date) = 4 GROUP BY CustomerLocation ORDER BY TotalLocationSales DESC LIMIT 1;"
"Show me the number of unique products sold each month in 2024.","SELECT MONTH(Date) AS SalesMonth, COUNT(DISTINCT Product) AS UniqueProductsSold FROM ProductSales WHERE YEAR(Date) = 2024 GROUP BY SalesMonth ORDER BY SalesMonth;"
"What is the total profit from all sales?","SELECT SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales;"
"Show the profit for each product.","SELECT Product, SUM(TotalSales - (BaseCost * Quantity)) AS ProductProfit FROM ProductSales GROUP BY Product ORDER BY ProductProfit DESC;"
"Which category generated the most profit last year?","SELECT Category, SUM(TotalSales - (BaseCost * Quantity)) AS CategoryProfit FROM ProductSales WHERE YEAR(Date) = YEAR(CURRENT_DATE()) - 1 GROUP BY Category ORDER BY CategoryProfit DESC LIMIT 1;"
"Compare the total profit between 2023 and 2024.","SELECT '2023' AS Year, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE YEAR(Date) = 2023 UNION ALL SELECT '2024' AS Year, SUM(TotalSales - (BaseCost * Quantity)) AS TotalProfit FROM ProductSales WHERE YEAR(Date) = 2024;"
"Which customer contributed the most to total profit?","SELECT CustomerName, SUM(TotalSales - (BaseCost * Quantity)) AS CustomerProfit FROM ProductSales GROUP BY CustomerName ORDER BY CustomerProfit DESC LIMIT 1;"
"What is the average profit margin for each product? (Profit Margin = (SellingPrice - BaseCost) / SellingPrice)","SELECT Product, AVG((SellingPrice - BaseCost) / SellingPrice) AS AverageProfitMargin FROM ProductSales GROUP BY Product ORDER BY AverageProfitMargin DESC;"
"Show the total profit for each month in the current year.","SELECT MONTH(Date) AS SalesMonth, SUM(TotalSales - (BaseCost * Quantity)) AS MonthlyProfit FROM ProductSales WHERE YEAR(Date) = YEAR('2025-06-27') GROUP BY SalesMonth ORDER BY SalesMonth;"
"List the top 5 products by profit in the last 6 months.","SELECT Product, SUM(TotalSales - (BaseCost * Quantity)) AS ProductProfit FROM ProductSales WHERE Date >= DATE_SUB('2025-06-27', INTERVAL 6 MONTH) GROUP BY Product ORDER BY ProductProfit DESC LIMIT 5;"
"What were the total sales in the third quarter of 2020?","SELECT SUM(TotalSales) FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2020;"
"Which product had the highest sales in the first quarter of 2019?","SELECT Product, SUM(TotalSales) AS TotalProductSales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2019 GROUP BY Product ORDER BY TotalProductSales DESC LIMIT 1;"
"Show the total quantity sold for each category in the last quarter of 2021.","SELECT Category, SUM(Quantity) AS TotalQuantitySold FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2021 GROUP BY Category ORDER BY TotalQuantitySold DESC;"
"What was the total sales amount in Q2 2023?","SELECT SUM(TotalSales) FROM ProductSales WHERE QUARTER(Date) = 2 AND YEAR(Date) = 2023;"
"Which customer made the highest sales in the first quarter of 2022?","SELECT CustomerName, SUM(TotalSales) AS TotalCustomerSales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2022 GROUP BY CustomerName ORDER BY TotalCustomerSales DESC LIMIT 1;"
"How many orders were placed in the third quarter of 2018?","SELECT COUNT(OrderID) FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2018;"
"What is the total sales for ""Footwear"" in the second quarter of 2024?","SELECT SUM(TotalSales) FROM ProductSales WHERE Category = 'Footwear' AND QUARTER(Date) = 2 AND YEAR(Date) = 2024;"
"Which product had the highest quantity sold in Q4 2020?","SELECT Product, SUM(Quantity) AS TotalQuantitySold FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2020 GROUP BY Product ORDER BY TotalQuantitySold DESC LIMIT 1;"
"Show total sales for each product in the first quarter of 2021.","SELECT Product, SUM(TotalSales) AS TotalProductSales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2021 GROUP BY Product ORDER BY TotalProductSales DESC;"
"What was the average selling price of products in Q3 2019?","SELECT AVG(SellingPrice) FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2019;"
"Find the total sales for 'Electronics' in the second quarter of 2025.","SELECT SUM(TotalSales) FROM ProductSales WHERE Category = 'Electronics' AND QUARTER(Date) = 2 AND YEAR(Date) = 2025;"
"Which customer location generated the most sales in Q1 2020?","SELECT CustomerLocation, SUM(TotalSales) AS TotalLocationSales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2020 GROUP BY CustomerLocation ORDER BY TotalLocationSales DESC LIMIT 1;"
"How many ""Smartphone"" units were sold in Q3 2023?","SELECT SUM(Quantity) FROM ProductSales WHERE Product = 'Smartphone' AND QUARTER(Date) = 3 AND YEAR(Date) = 2023;"
"List all orders in the fourth quarter of 2018 where the status is 'Completed'.","SELECT * FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2018 AND Status = 'Completed';"
"What are the total sales for ""Home Appliances"" in Q1 2022?","SELECT SUM(TotalSales) FROM ProductSales WHERE Category = 'Home Appliances' AND QUARTER(Date) = 1 AND YEAR(Date) = 2022;"
"Which payment method was used most frequently in the third quarter of 2024?","SELECT PaymentMethod, COUNT(*) AS TransactionCount FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2024 GROUP BY PaymentMethod ORDER BY TransactionCount DESC LIMIT 1;"
"Show total sales for each month in Q2 2023.","SELECT MONTH(Date) AS SalesMonth, SUM(TotalSales) AS MonthlySales FROM ProductSales WHERE QUARTER(Date) = 2 AND YEAR(Date) = 2023 GROUP BY SalesMonth ORDER BY SalesMonth;"
"What was the average total sales per customer in Q4 2019?","SELECT CustomerName, AVG(TotalSales) AS AverageSalesPerCustomer FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2019 GROUP BY CustomerName ORDER BY AverageSalesPerCustomer DESC;"
"Find the product with the lowest total sales in the first quarter of 2025.","SELECT Product, SUM(TotalSales) AS TotalProductSales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2025 GROUP BY Product ORDER BY TotalProductSales ASC LIMIT 1;"
"How many ""T-Shirt"" items were sold in Q2 2018?","SELECT SUM(Quantity) FROM ProductSales WHERE Product = 'T-Shirt' AND QUARTER(Date) = 2 AND YEAR(Date) = 2018;"
"Show the total sales for each customer location in Q3 2022.","SELECT CustomerLocation, SUM(TotalSales) AS TotalLocationSales FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2022 GROUP BY CustomerLocation ORDER BY TotalLocationSales DESC;"
"What is the total sales amount for orders with a 'Pending' status in Q1 2024?","SELECT SUM(TotalSales) FROM ProductSales WHERE Status = 'Pending' AND QUARTER(Date) = 1 AND YEAR(Date) = 2024;"
"Which category had the lowest average selling price in Q4 2021?","SELECT Category, AVG(SellingPrice) AS AverageSellingPrice FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2021 GROUP BY Category ORDER BY AverageSellingPrice ASC LIMIT 1;"
"List all sales of 'Running shoes' in the second quarter of 2019.","SELECT * FROM ProductSales WHERE Product = 'Running shoes' AND QUARTER(Date) = 2 AND YEAR(Date) = 2019;"
"What was the total sales from 'Debit Card' payments in Q1 2023?","SELECT SUM(TotalSales) FROM ProductSales WHERE PaymentMethod = 'Debit Card' AND QUARTER(Date) = 1 AND YEAR(Date) = 2023;"
"How many distinct products were sold in Q3 2020?","SELECT COUNT(DISTINCT Product) FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2020;"
"Show total sales by payment method in Q4 2022.","SELECT PaymentMethod, SUM(TotalSales) AS TotalSalesByMethod FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2022 GROUP BY PaymentMethod ORDER BY TotalSalesByMethod DESC;"
"Which customer purchased the most items (quantity) in Q2 2024?","SELECT CustomerName, SUM(Quantity) AS TotalQuantityPurchased FROM ProductSales WHERE QUARTER(Date) = 2 AND YEAR(Date) = 2024 GROUP BY CustomerName ORDER BY TotalQuantityPurchased DESC LIMIT 1;"
"What is the total sales for 'Books' in the first quarter of 2020?","SELECT SUM(TotalSales) FROM ProductSales WHERE Category = 'Books' AND QUARTER(Date) = 1 AND YEAR(Date) = 2020;"
"Find the average base cost of products sold in Q3 2021.","SELECT AVG(BaseCost) FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2021;"
"Show the total sales for each customer in Q1 2025.","SELECT CustomerName, SUM(TotalSales) AS TotalCustomerSales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2025 GROUP BY CustomerName ORDER BY TotalCustomerSales DESC;"
"What were the total sales for ""Headphones"" in the fourth quarter of 2019?","SELECT SUM(TotalSales) FROM ProductSales WHERE Product = 'Headphones' AND QUARTER(Date) = 4 AND YEAR(Date) = 2019;"
"List all orders made using 'PayPal' in Q2 2021.","SELECT * FROM ProductSales WHERE PaymentMethod = 'PayPal' AND QUARTER(Date) = 2 AND YEAR(Date) = 2021;"
"Which category generated the most sales in Q3 2018?","SELECT Category, SUM(TotalSales) AS TotalCategorySales FROM ProductSales WHERE QUARTER(Date) = 3 AND YEAR(Date) = 2018 GROUP BY Category ORDER BY TotalCategorySales DESC LIMIT 1;"
"How many ""Laptop"" units were sold in the first quarter of 2022?","SELECT SUM(Quantity) FROM ProductSales WHERE Product = 'Laptop' AND QUARTER(Date) = 1 AND YEAR(Date) = 2022;"
"Show the average selling price for each product in Q4 2023.","SELECT Product, AVG(SellingPrice) AS AverageSellingPrice FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2023 GROUP BY Product ORDER BY AverageSellingPrice DESC;"
"What is the total sales for 'Clothing' in the second quarter of 2020?","SELECT SUM(TotalSales) FROM ProductSales WHERE Category = 'Clothing' AND QUARTER(Date) = 2 AND YEAR(Date) = 2020;"
"Which customer location had the lowest average total sales per transaction in Q1 2021?","SELECT CustomerLocation, AVG(TotalSales) AS AverageSalesPerTransaction FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2021 GROUP BY CustomerLocation ORDER BY AverageSalesPerTransaction ASC LIMIT 1;"
"List all orders with a 'Cancelled' status in the third quarter of 2024.","SELECT * FROM ProductSales WHERE Status = 'Cancelled' AND QUARTER(Date) = 3 AND YEAR(Date) = 2024;"
"Show the count of orders for each payment method in Q2 2019.","SELECT PaymentMethod, COUNT(OrderID) AS OrderCount FROM ProductSales WHERE QUARTER(Date) = 2 AND YEAR(Date) = 2019 GROUP BY PaymentMethod ORDER BY OrderCount DESC;"
"What was the total sales of 'Washing Machine' in Q3 2022?","SELECT SUM(TotalSales) FROM ProductSales WHERE Product = 'Washing Machine' AND QUARTER(Date) = 3 AND YEAR(Date) = 2022;"
"Find the average quantity sold per order in Q4 2020.","SELECT AVG(Quantity) FROM ProductSales WHERE QUARTER(Date) = 4 AND YEAR(Date) = 2020;"
"Show the total sales by category for Q1 2019.","SELECT Category, SUM(TotalSales) AS TotalCategorySales FROM ProductSales WHERE QUARTER(Date) = 1 AND YEAR(Date) = 2019 GROUP BY Category ORDER BY TotalCategorySales DESC;"
"Which product had the highest total sales across all quarters of 2023?","SELECT Product, SUM(TotalSales) AS TotalProductSales FROM ProductSales WHERE YEAR(Date) = 2023 GROUP BY Product ORDER BY TotalProductSales DESC LIMIT 1;"
